clean_text,Issue_Category,embedding_index
hours operation individual hi support headquarters located lay soon message show know main,General Inquiry,0
data syncing card hi support application crashes every time open settings tab speech wall six hour book,Technical,1
2fa issues question hi support upgrade enterprise plan close stand street wear,Account,2
login failed let hi support dashboard loading data spinning wheel raise third recently turn,Technical,3
refund status attention hi support trying update payment method keeps failing study talk teach,Billing,4
office location national hi support headquarters located sign president nothing peace,General Inquiry,5
password reset body hi support upgrade enterprise plan effect bad upon edge wall,Account,6
payment failed win hi support subscription renewed automatically wanted cancel grow soldier minute capital matter,Billing,7
login failed son hi support cannot log account even resetting password direction want class cut,Technical,8
product question market hi support roadmap new features year center threat side know fall,General Inquiry,9
product question care hi support headquarters located employee play school pick size stand say,General Inquiry,10
2fa issues professor hi support want permanently delete account data industry system realize type purpose,Account,11
login failed surface hi support data hasnt synced cloud 24 hours man walk magazine power station wife,Technical,12
hours operation may hi support support operating hours safe affect business wonder,General Inquiry,13
payment failed close hi support requested refund 5 days ago enough building life western remember week,Billing,14
feature request seven hi support roadmap new features year word style quickly end similar,General Inquiry,15
demo request ten hi support team pricing tier work fight nation cup building military,General Inquiry,16
subscription upgrade understand hi support profile picture updating call tend stay question four experience,Account,17
refund status receive hi support send invoice transaction 99283 involve bar significant race southern,Billing,18
invoice discrepancy system hi support bill higher agreed amount thing service support popular southern,Billing,19
profile update scientist hi support want permanently delete account data recently factor mother open,Account,20
change email hi support lost phone cannot pass 2fa check sister short social movement ok response,Account,21
office location decision hi support offer discount nonprofits fill day conference week goal language,General Inquiry,22
2fa issues land hi support receiving password reset email seek bar piece news single,Account,23
hours operation adult hi support team pricing tier work season task trial structure debate,General Inquiry,24
product question concern hi support would like request demo team drive indicate usually music lot,General Inquiry,25
update credit card film hi support subscription renewed automatically wanted cancel happen hard ahead discover,Billing,26
login failed operation hi support install latest patch windows 11 even continue floor morning tax girl,Technical,27
screen freezes make hi support install latest patch windows 11 college help miss determine,Technical,28
profile update start hi support want permanently delete account data ok cause future citizen,Account,29
office location attention hi support roadmap new features year attention avoid,General Inquiry,30
pricing tiers collection hi support team pricing tier work make step,General Inquiry,31
api error 500 however hi support cannot log account even resetting password author provide require require,Technical,32
office location question hi support support operating hours political time prevent performance operation war,General Inquiry,33
api error 500 blue hi support application crashes every time open settings tab color pattern operation citizen continue management,Technical,34
subscription upgrade hi support please help change email address associated account really generation fight increase take,Account,35
phishing attempt close hi support received suspicious email claiming support technology want growth plan style,Fraud,36
refund status box hi support send invoice transaction 99283 mother change material research friend college,Billing,37
pricing tiers hi support would like request demo team practice reflect long book really model,General Inquiry,38
stolen card music hi support received suspicious email claiming support water think campaign town discussion worker environmental employee,Fraud,39
suspicious charge hi support noticed double charge statement last month glass marriage attorney explain production interesting,Billing,40
product question five hi support offer discount nonprofits say hospital specific car,General Inquiry,41
refund status want hi support noticed double charge statement last month room employee west eat per,Billing,42
login failed begin hi support dashboard loading data spinning wheel guy stand charge read,Technical,43
update credit card win hi support send invoice transaction 99283 civil join college including speak single,Billing,44
phishing attempt thousand hi support received suspicious email claiming support pass organization series week cold,Fraud,45
feature request full hi support offer discount nonprofits company notice tell,General Inquiry,46
login failed career hi support install latest patch windows 11 program senior sister consumer sea especially scene,Technical,47
payment failed common hi support subscription renewed automatically wanted cancel vote issue suddenly head head,Billing,48
product question baby hi support offer discount nonprofits ball campaign agreement right knowledge give great even,General Inquiry,49
demo request something hi support team pricing tier work baby decide plant forward,General Inquiry,50
update credit card air hi support bill higher agreed amount rest form follow common,Billing,51
product question medical hi support support operating hours environment hard care specific,General Inquiry,52
login failed hi support dashboard loading data spinning wheel role perform left,Technical,53
pricing tiers agree hi support roadmap new features year risk,General Inquiry,54
change email hi support receiving password reset email soldier tv indeed inside,Account,55
installation issue center hi support install latest patch windows 11 public degree war thought,Technical,56
stolen card represent hi support think account compromised night body perform,Fraud,57
delete account focus hi support receiving password reset email inside somebody course,Account,58
charged twice either hi support trying update payment method keeps failing american body past police old probably,Billing,59
login failed hi support application crashes every time open settings tab team room character,Technical,60
screen freezes whose hi support receiving 500 internal server error api endpoint hundred minute range,Technical,61
login failed voice hi support application crashes every time open settings tab serve read room husband bad huge nation,Technical,62
suspicious charge within hi support subscription renewed automatically wanted cancel six around point dream manager season ok,Billing,63
office location recognize hi support offer discount nonprofits college sister simply fine relate,General Inquiry,64
account hacked tough hi support lock account immediately see transactions didnt make share son next way raise population,Fraud,65
refund status attorney hi support bill higher agreed amount believe anything argue million join,Billing,66
payment failed table hi support requested refund 5 days ago see direction memory night,Billing,67
refund status audience hi support noticed double charge statement last month sound could case light imagine,Billing,68
invoice discrepancy mention hi support send invoice transaction 99283 cold song detail,Billing,69
api error 500 prevent hi support cannot log account even resetting password next picture official billion tough,Technical,70
api error 500 raise hi support application crashes every time open settings tab politics standard effect figure consumer,Technical,71
demo request move hi support headquarters located mission sea art threat bit call lawyer,General Inquiry,72
update credit card middle hi support bill higher agreed amount provide issue everyone democrat,Billing,73
